Country,Code,Continent,Year,Tourism_Arrivals,PPI,GPI,Expenditure,Avg
United States,USA,North America,2019,166009000,1.952,2.308,1.82E+11,1099
China,CHN,Asia,2019,162538000,3.031,2.056,#N/A,#N/A
Spain,ESP,Europe,2019,126170000,1.713,1.682,#N/A,#N/A
Mexico,MEX,North America,2019,97406000,2.93,2.514,1.23E+10,126
Italy,ITA,Europe,2019,95399000,1.803,1.678,3.79E+10,397
Poland,POL,Europe,2019,88515000,1.977,1.653,1.02E+10,115
Hungary,HUN,Europe,2019,61397000,2.163,1.503,3.39E+09,55
Croatia,HRV,Europe,2019,60021000,2.142,1.568,1.81E+09,30
Turkey,TUR,Europe,2019,51747000,3.093,2.898,4.90E+09,95
United Kingdom,GBR,Europe,2019,40857000,1.677,1.717,#N/A,#N/A
Thailand,THA,Asia,2019,39916000,2.905,2.226,1.69E+10,422
Germany,DEU,Europe,2019,39563000,1.457,1.553,9.99E+10,2524
Greece,GRC,Europe,2019,34005000,2.015,1.931,4.21E+09,124
Denmark,DNK,Europe,2019,32903000,1.264,1.272,#N/A,#N/A
Canada,CAN,North America,2019,32430000,1.48,1.338,#N/A,#N/A
Austria,AUT,Europe,2019,31884000,1.434,1.256,1.38E+10,434
Japan,JPN,Asia,2019,31882000,1.581,1.398,2.91E+10,914
Malaysia,MYS,Asia,2019,26101000,2.286,1.577,1.37E+10,524
Russia,RUS,Europe,2019,24419000,2.923,3.047,4.06E+10,1663
United Arab Emirates,ARE,Asia,2019,21553000,2.011,1.766,3.34E+10,1548
Saudi Arabia,SAU,Asia,2019,20292000,2.903,2.408,1.64E+10,809
Netherlands,NLD,Europe,2019,20129000,1.33,1.483,#N/A,#N/A
Singapore,SGP,Asia,2019,19116000,1.556,1.347,#N/A,#N/A
Vietnam,VNM,Asia,2019,18009000,#N/A,1.903,6.15E+09,341
India,IND,Asia,2019,17914000,3.292,2.572,2.86E+10,1596
South Korea,KOR,Asia,2019,17503000,1.722,1.852,3.48E+10,1991
Portugal,PRT,Europe,2019,17174000,1.554,1.241,7.00E+09,407
Indonesia,IDN,Asia,2019,16107000,3.139,1.725,1.45E+10,898
South Africa,ZAF,Africa,2019,14797000,3.061,2.405,5.87E+09,396
Ukraine,UKR,Europe,2019,13710000,2.952,2.865,8.91E+09,650
Morocco,MAR,Africa,2019,13109000,2.976,2.03,3.17E+09,242
Egypt,EGY,Africa,2019,13026000,3.524,2.365,3.72E+09,285
Romania,ROU,Europe,2019,12815000,2.51,1.562,7.17E+09,560
Bulgaria,BGR,Europe,2019,12552000,2.194,1.599,2.20E+09,175
Belarus,BLR,Europe,2019,11832000,2.502,2.103,1.22E+09,103
Switzerland,CHE,Europe,2019,11818000,1.23,1.348,2.11E+10,1785
Bahrain,BHR,Asia,2019,11061000,2.739,2.262,2.64E+09,238
Ireland,IRL,Europe,2019,10951000,1.365,1.383,8.16E+09,745
Australia,AUS,Oceania,2019,9466000,1.581,1.453,4.14E+10,4377
Tunisia,TUN,Africa,2019,9429000,2.668,2.071,8.89E+08,94
Belgium,BEL,Europe,2019,9343000,1.591,1.531,2.10E+10,2244
Iran,IRN,Asia,2019,9107000,3.51,2.508,#N/A,#N/A
Kuwait,KWT,Asia,2019,8565000,2.327,1.751,1.71E+10,2000
Kazakhstan,KAZ,Europe,2019,8515000,2.853,1.92,2.96E+09,347
Kyrgyzstan,KGZ,Asia,2019,8508000,#N/A,2.109,5.19E+08,61
Latvia,LVA,Europe,2019,8342000,1.942,1.674,#N/A,#N/A
Philippines,PHL,Asia,2019,8261000,3.37,2.478,1.29E+10,1556
Georgia,GEO,Europe,2019,7726000,2.413,2.04,1.12E+09,145
Sweden,SWE,Europe,2019,7616000,1.261,1.504,#N/A,#N/A
Dominican Republic,DOM,North America,2019,7550000,3.004,2.047,1.08E+09,143
Argentina,ARG,South America,2019,7399000,2.627,1.987,9.83E+09,1328
Uzbekistan,UZB,Asia,2019,6749000,3.321,2.074,2.75E+09,408
Cambodia,KHM,Asia,2019,6611000,3.63,2.001,1.16E+09,176
Albania,ALB,Europe,2019,6406000,2.573,1.764,1.85E+09,289
Brazil,BRA,South America,2019,6353000,3.006,2.364,2.12E+10,3334
Lithuania,LTU,Europe,2019,6150000,1.709,1.689,#N/A,#N/A
Estonia,EST,Europe,2019,6103000,1.643,1.651,1.82E+09,298
Norway,NOR,Europe,2019,5879000,1.171,1.474,1.80E+10,3060
Chile,CHL,South America,2019,5431000,2.172,1.666,3.12E+09,575
Jordan,JOR,Asia,2019,5361000,2.949,1.939,1.57E+09,293
Peru,PER,South America,2019,5275000,2.963,2.051,3.67E+09,696
Israel,ISR,Asia,2019,4905000,2.119,2.746,1.04E+10,2118
Laos,LAO,Asia,2019,4791000,3.61,1.783,1.03E+09,215
Slovenia,SVN,Europe,2019,4702000,1.576,1.329,1.77E+09,377
Colombia,COL,South America,2019,4529000,3.052,2.641,5.77E+09,1274
Paraguay,PRY,South America,2019,4368000,3.246,2.07,5.52E+08,126
Myanmar,MMR,Asia,2019,4364000,3.621,2.374,2.14E+08,49
Cuba,CUB,North America,2019,4276000,2.92,2.028,#N/A,#N/A
Jamaica,JAM,North America,2019,4233000,2.422,1.971,#N/A,#N/A
Cyprus,CYP,Europe,2019,4117000,1.924,1.884,1.60E+09,388
New Zealand,NZL,Oceania,2019,3888000,1.42,1.231,#N/A,#N/A
Oman,OMN,Asia,2019,3506000,2.582,1.999,3.39E+09,966
Uruguay,URY,South America,2019,3480000,1.936,1.7,1.48E+09,425
Costa Rica,CRI,North America,2019,3366000,2.126,1.734,1.39E+09,414
Finland,FIN,Europe,2019,3290000,1.222,1.43,6.86E+09,2085
Azerbaijan,AZE,Europe,2019,3170000,3.238,2.405,1.84E+09,580
El Salvador,SLV,North America,2019,2639000,3.122,2.179,5.37E+08,203
Guatemala,GTM,North America,2019,2560000,3.411,2.216,1.13E+09,441
Montenegro,MNE,Europe,2019,2510000,2.539,1.877,7.20E+07,29
Panama,PAN,North America,2019,2494000,2.602,1.821,1.62E+09,651
Syria,SYR,Asia,2019,2424000,4.19,3.434,#N/A,#N/A
Algeria,DZA,Africa,2019,2371000,3.289,2.24,6.68E+08,282
Honduras,HND,North America,2019,2315000,3.381,2.288,6.55E+08,283
Zimbabwe,ZWE,Africa,2019,2294000,3.976,2.406,#N/A,#N/A
Iceland,ISL,Europe,2019,2202000,1.206,1.093,#N/A,#N/A
Qatar,QAT,Asia,2019,2136500,2.259,1.641,1.25E+10,5864
Ecuador,ECU,South America,2019,2108000,3.052,1.948,1.65E+09,783
Cote d'Ivoire,CIV,Africa,2019,2070000,3.525,2.223,#N/A,#N/A
Kenya,KEN,Africa,2019,2049000,3.464,2.323,#N/A,#N/A
Mozambique,MOZ,Africa,2019,2033000,3.601,2.147,9.90E+07,49
Sri Lanka,LKA,Asia,2019,2027000,3.119,1.959,2.44E+09,1202
Lebanon,LBN,Asia,2019,1936000,3.288,2.815,6.82E+09,3525
Armenia,ARM,Asia,2019,1894000,2.762,2.169,1.54E+09,815
Serbia,SRB,Europe,2019,1847000,2.61,1.737,2.00E+09,1083
Namibia,NAM,Africa,2019,1651000,2.85,1.925,8.90E+07,54
Rwanda,RWA,Africa,2019,1634000,3.267,1.997,3.83E+08,234
Tanzania,TZA,Africa,2019,1527000,3.338,1.848,7.38E+08,483
Nicaragua,NIC,North America,2019,1455000,3.334,2.311,3.12E+08,214
Mauritius,MUS,Africa,2019,1418000,2.161,1.591,6.99E+08,493
Zambia,ZMB,Africa,2019,1266000,3.543,1.824,5.11E+08,404
Bolivia,BOL,South America,2019,1239000,3.333,2.072,1.07E+09,860
Eswatini,SWZ,Africa,2019,1226000,#N/A,2.018,3.30E+07,27
Bosnia and Herzegovina,BIH,Europe,2019,1198000,2.897,1.949,3.85E+08,321
Nepal,NPL,Asia,2019,1197000,3.565,2.011,7.14E+08,596
Lesotho,LSO,Africa,2019,1142000,3.249,2.198,2.89E+08,253
Haiti,HTI,North America,2019,938000,3.913,2.081,5.54E+08,591
Togo,TGO,Africa,2019,876000,3.6,2.192,#N/A,#N/A
Ethiopia,ETH,Africa,2019,812000,3.674,2.473,#N/A,#N/A
North Macedonia,MKD,Europe,2019,758000,#N/A,1.861,3.02E+08,398
Palestine,PSE,Asia,2019,688000,3.228,2.642,8.69E+08,1263
Mongolia,MNG,Asia,2019,637000,2.899,1.838,1.04E+09,1626
Gambia,GMB,Africa,2019,619000,#N/A,1.901,#N/A,#N/A
Madagascar,MDG,Africa,2019,486000,3.652,1.896,3.19E+08,656
Trinidad and Tobago,TTO,North America,2019,480000,2.689,2.064,1.33E+08,277
Benin,BEN,Africa,2019,337000,3.285,1.938,#N/A,#N/A
Bangladesh,BGD,Asia,2019,323000,3.826,2.142,1.39E+09,4297
Bhutan,BTN,Asia,2019,316000,2.785,1.51,6.70E+07,212
Guyana,GUY,South America,2019,315000,3.181,2.094,#N/A,#N/A
Angola,AGO,Africa,2019,218000,3.883,2.019,7.17E+08,3289
